Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Tipus_Vehicles,Nacionalitat_propietari,Nombre
2019,1,Ciutat Vella,1,el Raval,Turismes,Nacionalitat espanyola,4336
2019,1,Ciutat Vella,1,el Raval,Turismes,Altres nacionalitats,1416
2019,1,Ciutat Vella,1,el Raval,Motos,Nacionalitat espanyola,2227
2019,1,Ciutat Vella,1,el Raval,Motos,Altres nacionalitats,796
2019,1,Ciutat Vella,1,el Raval,Ciclomotors,Nacionalitat espanyola,931
2019,1,Ciutat Vella,1,el Raval,Ciclomotors,Altres nacionalitats,384
2019,1,Ciutat Vella,1,el Raval,Furgonetes,Nacionalitat espanyola,596
2019,1,Ciutat Vella,1,el Raval,Furgonetes,Altres nacionalitats,276
2019,1,Ciutat Vella,1,el Raval,Camions,Nacionalitat espanyola,246
2019,1,Ciutat Vella,1,el Raval,Camions,Altres nacionalitats,89
2019,1,Ciutat Vella,1,el Raval,Altres vehicles,Nacionalitat espanyola,178
2019,1,Ciutat Vella,1,el Raval,Altres vehicles,Altres nacionalitats,14
2019,1,Ciutat Vella,2,el Barri Gòtic,Turismes,Nacionalitat espanyola,4255
2019,1,Ciutat Vella,2,el Barri Gòtic,Turismes,Altres nacionalitats,564
2019,1,Ciutat Vella,2,el Barri Gòtic,Motos,Nacionalitat espanyola,3501
2019,1,Ciutat Vella,2,el Barri Gòtic,Motos,Altres nacionalitats,405
2019,1,Ciutat Vella,2,el Barri Gòtic,Ciclomotors,Nacionalitat espanyola,420
2019,1,Ciutat Vella,2,el Barri Gòtic,Ciclomotors,Altres nacionalitats,100
2019,1,Ciutat Vella,2,el Barri Gòtic,Furgonetes,Nacionalitat espanyola,1482
2019,1,Ciutat Vella,2,el Barri Gòtic,Furgonetes,Altres nacionalitats,79
2019,1,Ciutat Vella,2,el Barri Gòtic,Camions,Nacionalitat espanyola,933
2019,1,Ciutat Vella,2,el Barri Gòtic,Camions,Altres nacionalitats,13
2019,1,Ciutat Vella,2,el Barri Gòtic,Altres vehicles,Nacionalitat espanyola,353
2019,1,Ciutat Vella,2,el Barri Gòtic,Altres vehicles,Altres nacionalitats,11
2019,1,Ciutat Vella,3,la Barceloneta,Turismes,Nacionalitat espanyola,2638
2019,1,Ciutat Vella,3,la Barceloneta,Turismes,Altres nacionalitats,525
2019,1,Ciutat Vella,3,la Barceloneta,Motos,Nacionalitat espanyola,1437
2019,1,Ciutat Vella,3,la Barceloneta,Motos,Altres nacionalitats,404
2019,1,Ciutat Vella,3,la Barceloneta,Ciclomotors,Nacionalitat espanyola,410
2019,1,Ciutat Vella,3,la Barceloneta,Ciclomotors,Altres nacionalitats,101
2019,1,Ciutat Vella,3,la Barceloneta,Furgonetes,Nacionalitat espanyola,384
2019,1,Ciutat Vella,3,la Barceloneta,Furgonetes,Altres nacionalitats,65
2019,1,Ciutat Vella,3,la Barceloneta,Camions,Nacionalitat espanyola,98
2019,1,Ciutat Vella,3,la Barceloneta,Camions,Altres nacionalitats,13
2019,1,Ciutat Vella,3,la Barceloneta,Altres vehicles,Nacionalitat espanyola,85
2019,1,Ciutat Vella,3,la Barceloneta,Altres vehicles,Altres nacionalitats,8
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,Nacionalitat espanyola,3098
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Turismes,Altres nacionalitats,787
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,Nacionalitat espanyola,1867
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Motos,Altres nacionalitats,665
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Ciclomotors,Nacionalitat espanyola,4909
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Ciclomotors,Altres nacionalitats,163
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Furgonetes,Nacionalitat espanyola,397
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Furgonetes,Altres nacionalitats,123
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Camions,Nacionalitat espanyola,103
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Camions,Altres nacionalitats,24
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Altres vehicles,Nacionalitat espanyola,107
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Altres vehicles,Altres nacionalitats,11
2019,2,Eixample,5,el Fort Pienc,Turismes,Nacionalitat espanyola,8179
2019,2,Eixample,5,el Fort Pienc,Turismes,Altres nacionalitats,773
2019,2,Eixample,5,el Fort Pienc,Motos,Nacionalitat espanyola,3507
2019,2,Eixample,5,el Fort Pienc,Motos,Altres nacionalitats,530
2019,2,Eixample,5,el Fort Pienc,Ciclomotors,Nacionalitat espanyola,700
2019,2,Eixample,5,el Fort Pienc,Ciclomotors,Altres nacionalitats,108
2019,2,Eixample,5,el Fort Pienc,Furgonetes,Nacionalitat espanyola,614
2019,2,Eixample,5,el Fort Pienc,Furgonetes,Altres nacionalitats,94
2019,2,Eixample,5,el Fort Pienc,Camions,Nacionalitat espanyola,246
2019,2,Eixample,5,el Fort Pienc,Camions,Altres nacionalitats,20
2019,2,Eixample,5,el Fort Pienc,Altres vehicles,Nacionalitat espanyola,368
2019,2,Eixample,5,el Fort Pienc,Altres vehicles,Altres nacionalitats,10
2019,2,Eixample,6,la Sagrada Família,Turismes,Nacionalitat espanyola,12724
2019,2,Eixample,6,la Sagrada Família,Turismes,Altres nacionalitats,971
2019,2,Eixample,6,la Sagrada Família,Motos,Nacionalitat espanyola,5727
2019,2,Eixample,6,la Sagrada Família,Motos,Altres nacionalitats,720
2019,2,Eixample,6,la Sagrada Família,Ciclomotors,Nacionalitat espanyola,1154
2019,2,Eixample,6,la Sagrada Família,Ciclomotors,Altres nacionalitats,187
2019,2,Eixample,6,la Sagrada Família,Furgonetes,Nacionalitat espanyola,868
2019,2,Eixample,6,la Sagrada Família,Furgonetes,Altres nacionalitats,135
2019,2,Eixample,6,la Sagrada Família,Camions,Nacionalitat espanyola,289
2019,2,Eixample,6,la Sagrada Família,Camions,Altres nacionalitats,37
2019,2,Eixample,6,la Sagrada Família,Altres vehicles,Nacionalitat espanyola,444
2019,2,Eixample,6,la Sagrada Família,Altres vehicles,Altres nacionalitats,4
2019,2,Eixample,7,la Dreta de l'Eixample,Turismes,Nacionalitat espanyola,15511
2019,2,Eixample,7,la Dreta de l'Eixample,Turismes,Altres nacionalitats,1104
2019,2,Eixample,7,la Dreta de l'Eixample,Motos,Nacionalitat espanyola,7291
2019,2,Eixample,7,la Dreta de l'Eixample,Motos,Altres nacionalitats,871
2019,2,Eixample,7,la Dreta de l'Eixample,Ciclomotors,Nacionalitat espanyola,1133
2019,2,Eixample,7,la Dreta de l'Eixample,Ciclomotors,Altres nacionalitats,163
2019,2,Eixample,7,la Dreta de l'Eixample,Furgonetes,Nacionalitat espanyola,1679
2019,2,Eixample,7,la Dreta de l'Eixample,Furgonetes,Altres nacionalitats,69
2019,2,Eixample,7,la Dreta de l'Eixample,Camions,Nacionalitat espanyola,1062
2019,2,Eixample,7,la Dreta de l'Eixample,Camions,Altres nacionalitats,20
2019,2,Eixample,7,la Dreta de l'Eixample,Altres vehicles,Nacionalitat espanyola,1487
2019,2,Eixample,7,la Dreta de l'Eixample,Altres vehicles,Altres nacionalitats,10
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,Nacionalitat espanyola,11684
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Turismes,Altres nacionalitats,941
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Motos,Nacionalitat espanyola,6553
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Motos,Altres nacionalitats,795
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Ciclomotors,Nacionalitat espanyola,1017
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Ciclomotors,Altres nacionalitats,150
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Furgonetes,Nacionalitat espanyola,938
